source_file,record_idx,steps_analyzed,candidate_tokens,parent_prefix_tokens,reusable_parent_prefix_tokens,reusable_group_prefix_tokens,exact_parent_child_prefix_tokens,exact_sibling_shared_prefix_tokens,reusable_prefix_fraction_of_candidate_tokens,reusable_fraction_of_parent_prefix_tokens,reusable_group_prefix_fraction_of_candidate_tokens,exact_parent_child_prefix_fraction_of_candidate_tokens,exact_parent_child_prefix_fraction_of_parent_tokens,sibling_shared_prefix_fraction_of_candidate_tokens,sibling_shared_prefix_fraction_of_parent_tokens,weighted_pairwise_lcp_ratio,mean_duplicate_rate
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,0,2,4530.0,2580.0,2064.0,2064.0,2580.0,0.0,0.4556291390728477,0.8,0.4556291390728477,0.5695364238410596,1.0,0.0,0.0,0.46874062841602315,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,1,2,6702.0,2980.0,2384.0,2384.0,2976.0,0.0,0.3557147120262608,0.8,0.3557147120262608,0.4440465532676813,0.9986577181208054,0.0,0.0,0.43673652559480586,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,2,2,6476.0,2765.0,2212.0,2212.0,2765.0,0.0,0.34156886967263744,0.8,0.34156886967263744,0.4269610870907968,1.0,0.0,0.0,0.3900676938683936,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,3,2,6941.0,2455.0,1964.0,1964.0,2453.0,0.0,0.2829563463477885,0.8,0.2829563463477885,0.35340729001584786,0.9991853360488798,0.0,0.0,0.25989123235403333,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,4,2,7673.0,2760.0,2208.0,2208.0,2759.0,0.0,0.2877622833311612,0.8,0.2877622833311612,0.3595725270428776,0.9996376811594203,0.0,0.0,0.2595803813230161,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,5,2,6775.0,2895.0,2316.0,2316.0,2892.0,0.0,0.3418450184501845,0.8,0.3418450184501845,0.4268634686346863,0.9989637305699481,0.0,0.0,0.40366558332609265,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,6,2,7165.0,2455.0,1964.0,1964.0,2453.0,0.0,0.2741102581995813,0.8,0.2741102581995813,0.3423586880669923,0.9991853360488798,0.0,0.0,0.2998257377034389,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,7,2,5533.0,2300.0,1840.0,1840.0,2299.0,0.0,0.33255015362371226,0.8,0.33255015362371226,0.415506958250497,0.9995652173913043,0.0,0.0,0.42972451436082243,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,8,2,5424.0,1770.0,1416.0,1436.0,1769.0,20.0,0.2610619469026549,0.8,0.26474926253687314,0.3261430678466077,0.9994350282485875,0.003687315634218289,0.011299435028248588,0.36635560728417027,0.0
logs/text/_pscratch_sd_h_hmuki_models_Mistral-Small-24B-Instruct-2501_1.0_sample5_vote5_greedy1_start0_end10.json,9,2,6767.0,2685.0,2148.0,2160.0,2684.0,12.0,0.3174227870548249,0.8,0.31919609871434906,0.3966307078469041,0.9996275605214152,0.0017733116595241613,0.004469273743016759,0.42877624407990045,0.0
